Belt Name,Critical Minerals,States,Geological Notes
Nasarawa Pegmatite Belt,"Lithium, Coltan, REE",Nasarawa,High-grade pegmatites across Akwanga–Keffi zone
Oyo–Osun Pegmatite Corridor,"Lithium, Feldspar, Beryl","Oyo, Osun",Southwestern pegmatitic intrusions rich in lithium
Jos Plateau Tin Belt,"Tin, Columbite",Plateau,Historic LSM/ASM tin mining across Plateau State
Benue Trough REE Zone,Rare Earth Elements,"Benue, Taraba, Ebonyi",Carbonatites and alkaline complexes bearing REEs
Kogi Iron Ore Belt,Iron Ore,Kogi,Agbaja and Itakpe iron ore deposits
Zamfara Gold Corridor,Gold,Zamfara,Major ASM gold mining zone with known safety risks
